[06/06/2023 13:53:15]	Filtered to 0 links.
[06/06/2023 13:53:15]	Error: Page "https://www.webofscience.com/wos/author/record/11278775" loading timeout.
[06/06/2023 13:53:31]	Extracted 19 links.
[06/06/2023 13:53:31]	Filtered to 0 links.
[06/06/2023 13:53:31]	Error: Page "https://www.webofscience.com/wos/author/record/22009360" loading timeout.
[06/06/2023 13:53:48]	Extracted 19 links.
[06/06/2023 13:53:48]	Filtered to 0 links.
[06/06/2023 13:53:48]	Error: Page "https://www.webofscience.com/wos/author/record/27978917" loading timeout.
[06/06/2023 13:54:04]	Extracted 19 links.
[06/06/2023 13:54:04]	Filtered to 0 links.
[06/06/2023 13:54:04]	Error: Page "https://www.webofscience.com/wos/author/record/24618944" loading timeout.
[06/06/2023 13:54:20]	Extracted 19 links.
[06/06/2023 13:54:20]	Filtered to 0 links.
[06/06/2023 13:54:20]	Error: Page "https://www.webofscience.com/wos/author/record/5548040" loading timeout.
[06/06/2023 13:54:37]	Extracted 19 links.
[06/06/2023 13:54:37]	Filtered to 0 links.
[06/06/2023 13:54:37]	Error: Page "https://www.webofscience.com/wos/author/record/27932947" loading timeout.
[06/06/2023 13:54:52]	Extracted 19 links.
[06/06/2023 13:54:52]	Filtered to 0 links.
[06/06/2023 13:54:52]	Error: Page "https://www.webofscience.com/wos/author/record/16251703" loading timeout.
[06/06/2023 13:55:09]	Extracted 19 links.
[06/06/2023 13:55:09]	Filtered to 0 links.
[06/06/2023 13:55:09]	Error: Page "https://www.webofscience.com/wos/author/record/11581584" loading timeout.
[06/06/2023 13:55:25]	Extracted 19 links.
[06/06/2023 13:55:25]	Filtered to 0 links.
[06/06/2023 13:55:25]	Error: Page "https://www.webofscience.com/wos/author/record/26232743" loading timeout.
[06/06/2023 13:55:41]	Extracted 19 links.
[06/06/2023 13:55:41]	Filtered to 0 links.
[06/06/2023 13:55:41]	Error: Page "https://www.webofscience.com/wos/author/record/15091152" loading timeout.
[06/06/2023 13:55:58]	Extracted 19 links.
[06/06/2023 13:55:58]	Filtered to 0 links.
[06/06/2023 13:55:58]	Error: Page "https://www.webofscience.com/wos/author/record/29940551" loading timeout.
[06/06/2023 13:56:14]	Extracted 19 links.
[06/06/2023 13:56:14]	Filtered to 0 links.
[06/06/2023 13:56:14]	Error: Page "https://www.webofscience.com/wos/author/record/35093486, 15750930" loading timeout.
[06/06/2023 13:56:30]	Extracted 16 links.
[06/06/2023 13:56:30]	Filtered to 0 links.
[06/06/2023 13:56:30]	Error: Page "https://www.webofscience.com/wos/author/record/4998395" loading timeout.
[06/06/2023 13:56:46]	Extracted 19 links.
[06/06/2023 13:56:46]	Filtered to 0 links.
[06/06/2023 13:56:46]	Error: Page "https://www.webofscience.com/wos/author/record/7011797" loading timeout.
[06/06/2023 13:57:03]	Extracted 19 links.
[06/06/2023 13:57:03]	Filtered to 0 links.
[06/06/2023 13:57:03]	Page "https://www.webofscience.com/wos/author/record/1033084" loaded successfully.
[06/06/2023 13:57:07]	Extracted 161 links.
[06/06/2023 13:57:07]	Filtered to 50 links.
[06/06/2023 13:57:07]	Error: Page "https://www.webofscience.com/wos/author/record/1911881" loading timeout.
[06/06/2023 13:57:23]	Extracted 105 links.
[06/06/2023 13:57:23]	Filtered to 38 links.
